movie,sentence,score
더 퍼스트 슬램덩크,마지막 부분에 숨참고 봤다. 진짜 오줌을 지릴뻔했다. 서태웅이남자로 보인다. 송태섭이남자로 보인다. 말로 허용을 못할정도로 최고다. 인생 최고의 영화.,10
더 퍼스트 슬램덩크, 마냥 행복하고 좋았던 그시절로 잠시나마 돌아갈수있어서 좋았어요,10
더 퍼스트 슬램덩크,지렸다,10
더 퍼스트 슬램덩크,"명작은 내용을 다 알고 봐도 명작이다,,",10
더 퍼스트 슬램덩크,"무엇보다, 원작인 만화의 감동은 그대로 옮겼던 점이 너무 좋았어요. 그리고 여러 사람들의 표정을 한 눈에 보이게 담아낸 연출들이 개인적으로 원작에서 좋았던 점인데, 이 작품은 영상인 만큼 그보다는 생동감, 속도감이 느껴지게 연출한 점이 또 다른 보는 맛이 있었어요.",10
더 퍼스트 슬램덩크,너무 잘 알고 있기에 Soso 완전 잊고 있었거나 희미하거나 책 안접한사람은 그나마 괜찮을듯??? 일본만화영화는 신카이가 채고당 끗. ,7
더 퍼스트 슬램덩크,원작이 가지는 위대한 힘 4회차 관람했습니다.,10
더 퍼스트 슬램덩크,아저씨들이 왜 좋아하는지 알수있는 명작 애니메이션,10
더 퍼스트 슬램덩크,제발 자막으로 보세요....실수로 더빙으로 봤는데 유치한 느낌 들어요,8
더 퍼스트 슬램덩크,뚫어!!!!        송태섭!!!!,10
더 퍼스트 슬램덩크,한나 나올때 오랫동안 못만난 옛친구 만난 기분이 들어서 뭉클했다... ㅜㅜ,10
더 퍼스트 슬램덩크,뚜러~~~~어어어어! 내 인생!,10
더 퍼스트 슬램덩크,이걸 극장에서 본 순간이 내 인생 최고의 순간이었네. 만들어주신  모든분들께 감사인사를 드리고싶네요.,10
더 퍼스트 슬램덩크,송태섭 형은 낚시갔다가 사망. 정대만 중1때만남. 산왕이기고 정우성이랑 미국가서 만남. 강백호얘기안나옴. ,10
더 퍼스트 슬램덩크,솔직히 보다 눈물좀 흘렸다,10
더 퍼스트 슬램덩크,일본애니메이션은수준높다...애니메이션을그닥좋아하지않는나도재미있게봤다...스토리와연출굿...평점은8.1점주고싶다...,8
더 퍼스트 슬램덩크,슬램덩크 좋아했던 남자분들.영화표값이 아깝지 않으실겁니다.,10
더 퍼스트 슬램덩크,최고였다... 후속편들 그려줫으면 ㅜㅜㅜㅜ,10
더 퍼스트 슬램덩크,영화 보는 내내 감동과 소름,10
더 퍼스트 슬램덩크,슬램덩크 만화를 안봤어도 처음 과 끝에 전율이!! 만화 다 챙겨보고 더 세컨드 나오길 기대해야지,7
더 퍼스트 슬램덩크,최고 최고 최고 최고 촤고,10
더 퍼스트 슬램덩크,재밌게 잘봤습니다,10
더 퍼스트 슬램덩크,원작 만화를 한번도 본 적이 없었는데도 영화 내용에 제대로 몰입할 수 있었던 영화이다.,10
더 퍼스트 슬램덩크,부정할수 없는 명작,10
더 퍼스트 슬램덩크,인생 최고의 영화...,10
더 퍼스트 슬램덩크,진짜 최고예요 보고나서 만화방가서 31권 정독했습니다.,10
더 퍼스트 슬램덩크,No1 가드 돌격대장 송태섭,10
더 퍼스트 슬램덩크,우리모두의 영광의순간,10
더 퍼스트 슬램덩크,막힌 내 삶도 꼭 마지막 돌파처럼 ,10
더 퍼스트 슬램덩크,영화 처음 시작 스케치로 송태섭 정대만 채치수 강백호 서태웅 걸어올 때 부터 눈물 났습니다. ,10
더 퍼스트 슬램덩크,왜 이런걸 보나...했다. 왜 이렇게 찬양하나 했다..영화를 보기 전까진....와;; 잘 만들었다 진심.이건 정말 봐도 후회 안한다!,10
더 퍼스트 슬램덩크,이 영화를 보기 위해 만화방에서 슬램덩크를 정주행 했다 그러고 극장에서 3번을 봤다. 근데 아직도 못 잊겠어서 전권을 사버렸다.. 위험한 영화다,8
더 퍼스트 슬램덩크,걍 쩔음 연출 너무 쩔어서 또 보고 싶음...,10
더 퍼스트 슬램덩크,"초딩용 버전이 되버린듯. 여러모로 원작만화와의 갭이 상당함. 루즈한 전개와 어색한 대사, 유치한 장면들이 많아 성인이 보기엔 제법 인내심을 요함. 첫장면과 후반부는 그나마 볼만하나, 슬램덩크 세계관을 2시간 짜리 짜집기로 보여주기엔 한계가 명확. ",5
더 퍼스트 슬램덩크,슬램덩크 처음 영화로 봤다 낭만 그 자체,10
더 퍼스트 슬램덩크,마지막에 경기끝나고송태섭이 하늘 올려다 볼때 코끝찡 ㅠ,10
더 퍼스트 슬램덩크,고딩시절 만화책의 감동이 무너질까 걱정하면서 보기를 주저한 내 자신이 우스워졌습니다.. 그저 많은 님들의 말씀처럼 이노우에님의 선물에 감동만 가득합니다…아… ㅜㅜ 무방비 상태로 봉인해제 되어버린 추억의 상자가 닫혀지질 않네요~ ㅜㅜ이 공식사이트의 베스트 댓글처럼..안 늙고 다시 튀어나와준 북산 5인방에게 너무나 고마운 마음입니다~~~나만 늙었어~~~!!! ㅜㅜ ㅋㅋㅋㅋ무한 감사~,10
더 퍼스트 슬램덩크,기대했던것보다 재밌어요,10
더 퍼스트 슬램덩크,최고다개봉한지 한달이 지났지만 또 보고 또 봄,10
더 퍼스트 슬램덩크,슬램덩크 원작을 본 적이 없는데도 너무너무 재밌었다,10
더 퍼스트 슬램덩크,간만에 인생 영화 하나 나왔네요. 슬램덩크가 있는 시대에 살아서 감사합니다.,10
더 퍼스트 슬램덩크,원작만화를 보지 않아서 지루할까봐 크게 기대하지 않고 봤는데 내용도 흥미진진하고 연출도 좋아서 재미있게 봤다.,10
더 퍼스트 슬램덩크,하 개재밌다 서태웅 존잘,10
더 퍼스트 슬램덩크,별 생각없이 봤다가 3번봤습니다,10
더 퍼스트 슬램덩크,"주연 5인방 이름, 대략적인 스토리만 알고 가도 충분히 정말 재밌게 본 작품... 영상미, 연출, 작화, OST 전부 최고 ",10
더 퍼스트 슬램덩크,슬램덩크를 몰랐지만 사람들이 열광할만한 포인트가 느껴졌다 3D 그림체라 이질감이 들 수 있는 걱정은 이 영화를 보고나서 해소됐다,10
더 퍼스트 슬램덩크,마지막 정적… 서태웅이 강백호에게 패스 이후 슛을 날리고 모두가 집중하고 있는 사이 내 앞자리 커플 남자가 여자한테 농구 버저비터 룰을 설명하더라 진짜 ㄷㄱㄹ 깨고싶은거 참았다 .. 지금도 화가난다 ㅋㅋ ,10
더 퍼스트 슬램덩크,꼭 만화책으로 접했던 사람들뿐 아니라 모두가 하나되어 북산을 응원하게 되는 영화..,10
더 퍼스트 슬램덩크,슬램덩크를 전혀 모르는데 인기라고 해서 봤습니다. 스포츠 경기 보는 듯한 긴장감의 연속이에요 훌륭합니다,8
더 퍼스트 슬램덩크,슬램덩크 산왕전 에피소드 이상 가는 만화 스토리가 나올 수가 있나? 모든 명장면 명대사의 집합체다.,10
더 퍼스트 슬램덩크,아쉬운 부분이 있었지만 단연 최고의 영화였다.,10
더 퍼스트 슬램덩크,영웅 보고 일본 만화 보기가 너무 힘들었어요 조국을 잊지 않기 위해서....,2
더 퍼스트 슬램덩크,슬램덩크를 본 적이 없어서 이해가 안될까봐 걱정했는데 극장판의 설명이 친절해서 바로 재밌게 볼 수 있었습니다 ,10
더 퍼스트 슬램덩크,평점에 조금 속은느낌이랄까..백호덕에 재미있었지만.. 울백호 분량이 너무적어 ㅠㅠ,7
더 퍼스트 슬램덩크,2시간동안 소년챔프를 모았던 그시절로 돌아간듯한.. 다시보고싶게 설랬다.,10
더 퍼스트 슬램덩크,처음부터 끝까지 가슴이 두근거리고 맘이 아려서 애들보여주러갔다가 내가 울컥하고 와 버림.나혼자 다시 재관람 해야할듯 ㅜ,10
